,monthly_income,monthly_expense_total,savings_rate,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,income_type,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
0,3119.58,3212.07,0.38,inflation,721.0,0.56,125.77,689.22,3,510.58,68,0,Freelance,Positive,8.3,Low,0.0,0
1,3262.44,3732.81,0.1,inflation,670.0,0.42,454.19,360.34,4,1154.41,41,0,Salary,Positive,22.6,Low,0.0,0
2,2931.2,3335.58,0.15,inflation,691.0,0.24,971.82,0.0,5,1433.02,90,0,Freelance,Positive,58.8,Low,0.0,0
3,3506.79,2327.59,0.17,normal,717.0,0.16,482.76,182.06,5,227.37,94,0,Freelance,Positive,74.5,Low,1179.2,0
4,4606.87,2182.58,0.34,inflation,795.0,0.25,263.74,342.78,9,589.81,73,0,Salary,Negative,38.7,High,2424.29,0
5,4028.39,3876.57,0.26,recession,643.0,0.43,323.2,451.11,8,1131.03,56,0,Salary,Positive,53.7,Medium,151.82,0
6,4145.45,3035.61,0.15,normal,683.0,0.3,609.88,730.42,8,995.12,69,0,Freelance,Positive,74.7,High,1109.84,0
7,3202.37,2689.51,0.25,normal,655.0,0.24,524.64,224.15,4,732.71,65,0,Salary,Neutral,83.1,Medium,512.86,0
8,4765.11,2628.56,0.06,normal,715.0,0.52,103.3,0.0,7,1623.05,99,0,Salary,Negative,71.6,Low,2136.55,0
9,3581.79,3370.8,0.13,normal,749.0,0.52,643.48,261.39,9,1057.1,91,0,Salary,Positive,77.9,High,210.99,0
10,3832.71,3230.77,0.23,normal,611.0,0.19,316.34,452.59,9,1095.63,73,0,Mixed,Positive,62.5,Medium,601.94,0
11,2136.79,3444.29,0.34,normal,669.0,0.39,285.31,528.05,5,1967.83,53,0,Freelance,Negative,36.1,High,0.0,0
12,5462.92,3049.29,0.29,recession,670.0,0.23,679.87,275.58,2,1431.37,41,0,Salary,Positive,39.0,Low,2413.63,0
